naics_code,kind_of_business,sales_month,sales
451,"Sporting goods, hobby, musical instrument, and book stores",12/1/19,9491
45111,Sporting goods stores,1/1/19,2730
45111,Sporting goods stores,2/1/19,2826
45111,Sporting goods stores,3/1/19,3636
45111,Sporting goods stores,4/1/19,3615
45111,Sporting goods stores,5/1/19,3762
45111,Sporting goods stores,6/1/19,4096
45111,Sporting goods stores,7/1/19,4073
45111,Sporting goods stores,8/1/19,4302
45111,Sporting goods stores,9/1/19,3346
45111,Sporting goods stores,10/1/19,3463
45111,Sporting goods stores,11/1/19,3758
45111,Sporting goods stores,12/1/19,5236
45112,"Hobby, toy, and game stores",1/1/19,1117
45112,"Hobby, toy, and game stores",2/1/19,1072
45112,"Hobby, toy, and game stores",3/1/19,1246
45112,"Hobby, toy, and game stores",4/1/19,1140
45112,"Hobby, toy, and game stores",5/1/19,1214
45112,"Hobby, toy, and game stores",6/1/19,1149
45112,"Hobby, toy, and game stores",7/1/19,1157
45112,"Hobby, toy, and game stores",8/1/19,1246
45112,"Hobby, toy, and game stores",9/1/19,1231
45112,"Hobby, toy, and game stores",10/1/19,1382
45112,"Hobby, toy, and game stores",11/1/19,2029
45112,"Hobby, toy, and game stores",12/1/19,2268
451211,Book stores,1/1/19,1005
451211,Book stores,2/1/19,573
451211,Book stores,3/1/19,592
451211,Book stores,4/1/19,638
451211,Book stores,5/1/19,683
451211,Book stores,6/1/19,602
451211,Book stores,7/1/19,580
451211,Book stores,8/1/19,1106
451211,Book stores,9/1/19,856
451211,Book stores,10/1/19,638
451211,Book stores,11/1/19,629
451211,Book stores,12/1/19,1053
452,General merchandise stores,1/1/19,52032
452,General merchandise stores,2/1/19,50635
452,General merchandise stores,3/1/19,58590
452,General merchandise stores,4/1/19,56983
452,General merchandise stores,5/1/19,60925
452,General merchandise stores,6/1/19,59002
452,General merchandise stores,7/1/19,58881
452,General merchandise stores,8/1/19,61912
452,General merchandise stores,9/1/19,54525
452,General merchandise stores,10/1/19,58848
452,General merchandise stores,11/1/19,65988
452,General merchandise stores,12/1/19,77203
4521,Department stores,1/1/19,8708
4521,Department stores,2/1/19,9108
4521,Department stores,3/1/19,10592
4521,Department stores,4/1/19,10405
4521,Department stores,5/1/19,11243
4521,Department stores,6/1/19,10577
4521,Department stores,7/1/19,10779
4521,Department stores,8/1/19,11743
4521,Department stores,9/1/19,9689
4521,Department stores,10/1/19,10395
4521,Department stores,11/1/19,13265
4521,Department stores,12/1/19,18151
452111,Department stores(excl. discount department stores),1/1/19,2383
452111,Department stores(excl. discount department stores),2/1/19,2652
452111,Department stores(excl. discount department stores),3/1/19,3085
452111,Department stores(excl. discount department stores),4/1/19,3106
452111,Department stores(excl. discount department stores),5/1/19,3292
452111,Department stores(excl. discount department stores),6/1/19,3018
452111,Department stores(excl. discount department stores),7/1/19,2950
452111,Department stores(excl. discount department stores),8/1/19,3058
452111,Department stores(excl. discount department stores),9/1/19,2857
452111,Department stores(excl. discount department stores),10/1/19,2917
452111,Department stores(excl. discount department stores),11/1/19,4111
452111,Department stores(excl. discount department stores),12/1/19,6119
452112,Discount dept. stores,1/1/19,6325
452112,Discount dept. stores,2/1/19,6456
452112,Discount dept. stores,3/1/19,7507
452112,Discount dept. stores,4/1/19,7299
452112,Discount dept. stores,5/1/19,7951
452112,Discount dept. stores,6/1/19,7559
452112,Discount dept. stores,7/1/19,7829
452112,Discount dept. stores,8/1/19,8685
452112,Discount dept. stores,9/1/19,6832
452112,Discount dept. stores,10/1/19,7478
452112,Discount dept. stores,11/1/19,9154
452112,Discount dept. stores,12/1/19,12032
4529,Other general merchandise stores,1/1/19,43324
4529,Other general merchandise stores,2/1/19,41527
4529,Other general merchandise stores,3/1/19,47998
4529,Other general merchandise stores,4/1/19,46578
4529,Other general merchandise stores,5/1/19,49682
4529,Other general merchandise stores,6/1/19,48425
4529,Other general merchandise stores,7/1/19,48102
4529,Other general merchandise stores,8/1/19,50169
4529,Other general merchandise stores,9/1/19,44836
4529,Other general merchandise stores,10/1/19,48453
4529,Other general merchandise stores,11/1/19,52723
4529,Other general merchandise stores,12/1/19,59052
45291,Warehouse clubs and superstores,1/1/19,37432
45291,Warehouse clubs and superstores,2/1/19,35744
45291,Warehouse clubs and superstores,3/1/19,41411
45291,Warehouse clubs and superstores,4/1/19,39907
45291,Warehouse clubs and superstores,5/1/19,42597
45291,Warehouse clubs and superstores,6/1/19,41732
45291,Warehouse clubs and superstores,7/1/19,41548
45291,Warehouse clubs and superstores,8/1/19,43497
45291,Warehouse clubs and superstores,9/1/19,38577
45291,Warehouse clubs and superstores,10/1/19,41629
45291,Warehouse clubs and superstores,11/1/19,45461
45291,Warehouse clubs and superstores,12/1/19,50535
45299,All other gen. merchandise stores,1/1/19,5892
45299,All other gen. merchandise stores,2/1/19,5783
45299,All other gen. merchandise stores,3/1/19,6587
45299,All other gen. merchandise stores,4/1/19,6671
45299,All other gen. merchandise stores,5/1/19,7085
45299,All other gen. merchandise stores,6/1/19,6693
45299,All other gen. merchandise stores,7/1/19,6554
45299,All other gen. merchandise stores,8/1/19,6672
45299,All other gen. merchandise stores,9/1/19,6259
45299,All other gen. merchandise stores,10/1/19,6824
45299,All other gen. merchandise stores,11/1/19,7262
45299,All other gen. merchandise stores,12/1/19,8517
453,Miscellaneous store retailers,1/1/19,9180
453,Miscellaneous store retailers,2/1/19,9011
453,Miscellaneous store retailers,3/1/19,10124
453,Miscellaneous store retailers,4/1/19,10634
453,Miscellaneous store retailers,5/1/19,12416
453,Miscellaneous store retailers,6/1/19,11231
453,Miscellaneous store retailers,7/1/19,11273
453,Miscellaneous store retailers,8/1/19,11708
453,Miscellaneous store retailers,9/1/19,10701
453,Miscellaneous store retailers,10/1/19,11917
453,Miscellaneous store retailers,11/1/19,11517
453,Miscellaneous store retailers,12/1/19,12136
4532,"Office supplies, stationery, and gift stores",1/1/19,2052
4532,"Office supplies, stationery, and gift stores",2/1/19,1958
4532,"Office supplies, stationery, and gift stores",3/1/19,2179
4532,"Office supplies, stationery, and gift stores",4/1/19,2198
4532,"Office supplies, stationery, and gift stores",5/1/19,2543
4532,"Office supplies, stationery, and gift stores",6/1/19,2411
4532,"Office supplies, stationery, and gift stores",7/1/19,2658
4532,"Office supplies, stationery, and gift stores",8/1/19,2845
4532,"Office supplies, stationery, and gift stores",9/1/19,2383
4532,"Office supplies, stationery, and gift stores",10/1/19,2940
4532,"Office supplies, stationery, and gift stores",11/1/19,2344
4532,"Office supplies, stationery, and gift stores",12/1/19,3051
45321,Office supplies and stationery stores,1/1/19,1010
45321,Office supplies and stationery stores,2/1/19,831
45321,Office supplies and stationery stores,3/1/19,887
45321,Office supplies and stationery stores,4/1/19,846
45321,Office supplies and stationery stores,5/1/19,826
45321,Office supplies and stationery stores,6/1/19,749
45321,Office supplies and stationery stores,7/1/19,889
45321,Office supplies and stationery stores,8/1/19,1258
45321,Office supplies and stationery stores,9/1/19,892
45321,Office supplies and stationery stores,10/1/19,831
45321,Office supplies and stationery stores,11/1/19,770
45321,Office supplies and stationery stores,12/1/19,910
45322,"Gift, novelty, and souvenir stores",1/1/19,1042
45322,"Gift, novelty, and souvenir stores",2/1/19,1127
45322,"Gift, novelty, and souvenir stores",3/1/19,1292
45322,"Gift, novelty, and souvenir stores",4/1/19,1352
45322,"Gift, novelty, and souvenir stores",5/1/19,1717
45322,"Gift, novelty, and souvenir stores",6/1/19,1662
45322,"Gift, novelty, and souvenir stores",7/1/19,1769
45322,"Gift, novelty, and souvenir stores",8/1/19,1587
45322,"Gift, novelty, and souvenir stores",9/1/19,1491
45322,"Gift, novelty, and souvenir stores",10/1/19,2109
45322,"Gift, novelty, and souvenir stores",11/1/19,1574
45322,"Gift, novelty, and souvenir stores",12/1/19,2141
45330,Used merchandise stores,1/1/19,1336
45330,Used merchandise stores,2/1/19,1328
45330,Used merchandise stores,3/1/19,1529
45330,Used merchandise stores,4/1/19,1605
45330,Used merchandise stores,5/1/19,1403
45330,Used merchandise stores,6/1/19,1405
45330,Used merchandise stores,7/1/19,1458
45330,Used merchandise stores,8/1/19,1644
45330,Used merchandise stores,9/1/19,1573
45330,Used merchandise stores,10/1/19,1855
45330,Used merchandise stores,11/1/19,1667
45330,Used merchandise stores,12/1/19,1570
454,Nonstore retailers,1/1/19,57111
454,Nonstore retailers,2/1/19,53131
454,Nonstore retailers,3/1/19,57051
454,Nonstore retailers,4/1/19,57914
454,Nonstore retailers,5/1/19,62209
454,Nonstore retailers,6/1/19,57760
454,Nonstore retailers,7/1/19,61490
454,Nonstore retailers,8/1/19,61266
454,Nonstore retailers,9/1/19,58397
454,Nonstore retailers,10/1/19,64806
454,Nonstore retailers,11/1/19,71642
454,Nonstore retailers,12/1/19,89753
4541,Electronic shopping and mail-order houses,1/1/19,47806
4541,Electronic shopping and mail-order houses,2/1/19,44858
4541,Electronic shopping and mail-order houses,3/1/19,48782
4541,Electronic shopping and mail-order houses,4/1/19,50609
4541,Electronic shopping and mail-order houses,5/1/19,54813
4541,Electronic shopping and mail-order houses,6/1/19,51067
4541,Electronic shopping and mail-order houses,7/1/19,54649
4541,Electronic shopping and mail-order houses,8/1/19,54259
4541,Electronic shopping and mail-order houses,9/1/19,51465
4541,Electronic shopping and mail-order houses,10/1/19,56868
4541,Electronic shopping and mail-order houses,11/1/19,63502
4541,Electronic shopping and mail-order houses,12/1/19,80573
45431,Fuel dealers,1/1/19,4665
45431,Fuel dealers,2/1/19,3997
45431,Fuel dealers,3/1/19,3749
45431,Fuel dealers,4/1/19,2618
45431,Fuel dealers,5/1/19,2196
45431,Fuel dealers,6/1/19,1785
45431,Fuel dealers,7/1/19,1857
45431,Fuel dealers,8/1/19,1951
45431,Fuel dealers,9/1/19,2037
45431,Fuel dealers,10/1/19,2659
45431,Fuel dealers,11/1/19,3357
45431,Fuel dealers,12/1/19,4088
722,Food services and drinking places,1/1/19,56440
722,Food services and drinking places,2/1/19,56560
722,Food services and drinking places,3/1/19,65806
722,Food services and drinking places,4/1/19,63170
722,Food services and drinking places,5/1/19,67464
722,Food services and drinking places,6/1/19,66043
722,Food services and drinking places,7/1/19,66289
722,Food services and drinking places,8/1/19,68333
722,Food services and drinking places,9/1/19,63715
722,Food services and drinking places,10/1/19,66364
722,Food services and drinking places,11/1/19,64337
722,Food services and drinking places,12/1/19,67769
7224,Drinking places,1/1/19,
7224,Drinking places,2/1/19,
7224,Drinking places,3/1/19,
7224,Drinking places,4/1/19,
7224,Drinking places,5/1/19,
7224,Drinking places,6/1/19,
7224,Drinking places,7/1/19,
7224,Drinking places,8/1/19,
7224,Drinking places,9/1/19,
7224,Drinking places,10/1/19,
7224,Drinking places,11/1/19,
7224,Drinking places,12/1/19,
7225,Restaurants and other eating places,1/1/19,49904
7225,Restaurants and other eating places,2/1/19,49623
7225,Restaurants and other eating places,3/1/19,57771
7225,Restaurants and other eating places,4/1/19,55241
7225,Restaurants and other eating places,5/1/19,59244
7225,Restaurants and other eating places,6/1/19,58479
7225,Restaurants and other eating places,7/1/19,59033
7225,Restaurants and other eating places,8/1/19,59821
7225,Restaurants and other eating places,9/1/19,54560
7225,Restaurants and other eating places,10/1/19,56553
7225,Restaurants and other eating places,11/1/19,55186
7225,Restaurants and other eating places,12/1/19,58634
722511,Full service restaurants,1/1/19,24623
722511,Full service restaurants,2/1/19,24666
722511,Full service restaurants,3/1/19,28186
722511,Full service restaurants,4/1/19,26710
722511,Full service restaurants,5/1/19,29241
722511,Full service restaurants,6/1/19,28788
722511,Full service restaurants,7/1/19,28867
722511,Full service restaurants,8/1/19,29499
722511,Full service restaurants,9/1/19,26710
722511,Full service restaurants,10/1/19,27747
722511,Full service restaurants,11/1/19,27627
722511,Full service restaurants,12/1/19,30437
"722513, 722514, 722515",Limited service eating places,1/1/19,25281
"722513, 722514, 722515",Limited service eating places,2/1/19,24957
"722513, 722514, 722515",Limited service eating places,3/1/19,29585
"722513, 722514, 722515",Limited service eating places,4/1/19,28531
"722513, 722514, 722515",Limited service eating places,5/1/19,30003
"722513, 722514, 722515",Limited service eating places,6/1/19,29691
"722513, 722514, 722515",Limited service eating places,7/1/19,30166
"722513, 722514, 722515",Limited service eating places,8/1/19,30322
"722513, 722514, 722515",Limited service eating places,9/1/19,27850
"722513, 722514, 722515",Limited service eating places,10/1/19,28806
"722513, 722514, 722515",Limited service eating places,11/1/19,27559
"722513, 722514, 722515",Limited service eating places,12/1/19,28197
,"Retail and food services sales, total",1/1/18,444231
,"Retail and food services sales, total",2/1/18,435308
,"Retail and food services sales, total",3/1/18,508287
,"Retail and food services sales, total",4/1/18,480480
,"Retail and food services sales, total",5/1/18,528485
,"Retail and food services sales, total",6/1/18,507307
,"Retail and food services sales, total",7/1/18,505125
,"Retail and food services sales, total",8/1/18,520502
,"Retail and food services sales, total",9/1/18,476894
,"Retail and food services sales, total",10/1/18,503544
,"Retail and food services sales, total",11/1/18,518353
,"Retail and food services sales, total",12/1/18,555970
,Retail sales and food services excl motor vehicle and parts,1/1/18,356079
,Retail sales and food services excl motor vehicle and parts,2/1/18,345682
,Retail sales and food services excl motor vehicle and parts,3/1/18,398644
,Retail sales and food services excl motor vehicle and parts,4/1/18,381179
,Retail sales and food services excl motor vehicle and parts,5/1/18,419359
,Retail sales and food services excl motor vehicle and parts,6/1/18,402562
,Retail sales and food services excl motor vehicle and parts,7/1/18,401448
,Retail sales and food services excl motor vehicle and parts,8/1/18,412119
,Retail sales and food services excl motor vehicle and parts,9/1/18,380952
,Retail sales and food services excl motor vehicle and parts,10/1/18,404486
,Retail sales and food services excl motor vehicle and parts,11/1/18,423001
,Retail sales and food services excl motor vehicle and parts,12/1/18,454783
,Retail sales and food services excl gasoline stations,1/1/18,405277
,Retail sales and food services excl gasoline stations,2/1/18,398432
,Retail sales and food services excl gasoline stations,3/1/18,466104
,Retail sales and food services excl gasoline stations,4/1/18,437688
,Retail sales and food services excl gasoline stations,5/1/18,480785
,Retail sales and food services excl gasoline stations,6/1/18,460298
,Retail sales and food services excl gasoline stations,7/1/18,457785
,Retail sales and food services excl gasoline stations,8/1/18,472381
,Retail sales and food services excl gasoline stations,9/1/18,432230
,Retail sales and food services excl gasoline stations,10/1/18,456251
,Retail sales and food services excl gasoline stations,11/1/18,476172
,Retail sales and food services excl gasoline stations,12/1/18,517647
,Retail sales and food services excl motor vehicle and parts and gasoline stations,1/1/18,317125
,Retail sales and food services excl motor vehicle and parts and gasoline stations,2/1/18,308806
,Retail sales and food services excl motor vehicle and parts and gasoline stations,3/1/18,356461
,Retail sales and food services excl motor vehicle and parts and gasoline stations,4/1/18,338387
,Retail sales and food services excl motor vehicle and parts and gasoline stations,5/1/18,371659
,Retail sales and food services excl motor vehicle and parts and gasoline stations,6/1/18,355553
,Retail sales and food services excl motor vehicle and parts and gasoline stations,7/1/18,354108
,Retail sales and food services excl motor vehicle and parts and gasoline stations,8/1/18,363998
,Retail sales and food services excl motor vehicle and parts and gasoline stations,9/1/18,336288
,Retail sales and food services excl motor vehicle and parts and gasoline stations,10/1/18,357193
,Retail sales and food services excl motor vehicle and parts and gasoline stations,11/1/18,380820
,Retail sales and food services excl motor vehicle and parts and gasoline stations,12/1/18,416460
,"Retail sales, total",1/1/18,389624
,"Retail sales, total",2/1/18,380456
,"Retail sales, total",3/1/18,444725
,"Retail sales, total",4/1/18,420206
,"Retail sales, total",5/1/18,464422
,"Retail sales, total",6/1/18,443762
,"Retail sales, total",7/1/18,441712
,"Retail sales, total",8/1/18,456103
,"Retail sales, total",9/1/18,417148
,"Retail sales, total",10/1/18,442154
,"Retail sales, total",11/1/18,459625
,"Retail sales, total",12/1/18,493444
,"Retail sales, total (excl. motor vehicle and parts dealers)",1/1/18,301472
,"Retail sales, total (excl. motor vehicle and parts dealers)",2/1/18,290830
,"Retail sales, total (excl. motor vehicle and parts dealers)",3/1/18,335082
,"Retail sales, total (excl. motor vehicle and parts dealers)",4/1/18,320905
,"Retail sales, total (excl. motor vehicle and parts dealers)",5/1/18,355296
,"Retail sales, total (excl. motor vehicle and parts dealers)",6/1/18,339017
,"Retail sales, total (excl. motor vehicle and parts dealers)",7/1/18,338035
,"Retail sales, total (excl. motor vehicle and parts dealers)",8/1/18,347720
,"Retail sales, total (excl. motor vehicle and parts dealers)",9/1/18,321206
,"Retail sales, total (excl. motor vehicle and parts dealers)",10/1/18,343096
,"Retail sales, total (excl. motor vehicle and parts dealers)",11/1/18,364273
,"Retail sales, total (excl. motor vehicle and parts dealers)",12/1/18,392257
,GAFO(1),1/1/18,90541
,GAFO(1),2/1/18,92478
,GAFO(1),3/1/18,108140
,GAFO(1),4/1/18,98853
,GAFO(1),5/1/18,110596
,GAFO(1),6/1/18,105919
,GAFO(1),7/1/18,105243
,GAFO(1),8/1/18,111406
,GAFO(1),9/1/18,100003
,GAFO(1),10/1/18,105197
,GAFO(1),11/1/18,121205
,GAFO(1),12/1/18,146293
441,Motor vehicle and parts dealers,1/1/18,88152
441,Motor vehicle and parts dealers,2/1/18,89626
441,Motor vehicle and parts dealers,3/1/18,109643
441,Motor vehicle and parts dealers,4/1/18,99301
441,Motor vehicle and parts dealers,5/1/18,109126
441,Motor vehicle and parts dealers,6/1/18,104745
441,Motor vehicle and parts dealers,7/1/18,103677
441,Motor vehicle and parts dealers,8/1/18,108383
441,Motor vehicle and parts dealers,9/1/18,95942
441,Motor vehicle and parts dealers,10/1/18,99058
441,Motor vehicle and parts dealers,11/1/18,95352
441,Motor vehicle and parts dealers,12/1/18,101187
"4411,4412",Automobile and other motor vehicle dealers,1/1/18,80914
"4411,4412",Automobile and other motor vehicle dealers,2/1/18,82600
"4411,4412",Automobile and other motor vehicle dealers,3/1/18,101304
"4411,4412",Automobile and other motor vehicle dealers,4/1/18,91562
"4411,4412",Automobile and other motor vehicle dealers,5/1/18,100706
"4411,4412",Automobile and other motor vehicle dealers,6/1/18,96548
"4411,4412",Automobile and other motor vehicle dealers,7/1/18,95498
"4411,4412",Automobile and other motor vehicle dealers,8/1/18,99842
"4411,4412",Automobile and other motor vehicle dealers,9/1/18,88196
"4411,4412",Automobile and other motor vehicle dealers,10/1/18,90620
"4411,4412",Automobile and other motor vehicle dealers,11/1/18,87469
"4411,4412",Automobile and other motor vehicle dealers,12/1/18,93991
4411,Automobile dealers,1/1/18,76803
4411,Automobile dealers,2/1/18,77664
4411,Automobile dealers,3/1/18,94440
4411,Automobile dealers,4/1/18,84225
4411,Automobile dealers,5/1/18,92525
4411,Automobile dealers,6/1/18,88378
4411,Automobile dealers,7/1/18,88338
4411,Automobile dealers,8/1/18,92656
4411,Automobile dealers,9/1/18,82405
4411,Automobile dealers,10/1/18,85213
4411,Automobile dealers,11/1/18,82672
4411,Automobile dealers,12/1/18,89581
44111,New car dealers,1/1/18,67800
44111,New car dealers,2/1/18,67548
44111,New car dealers,3/1/18,82958
44111,New car dealers,4/1/18,74478
44111,New car dealers,5/1/18,82199
44111,New car dealers,6/1/18,78377
44111,New car dealers,7/1/18,78316
44111,New car dealers,8/1/18,82310
44111,New car dealers,9/1/18,73191
44111,New car dealers,10/1/18,75815
44111,New car dealers,11/1/18,73723
44111,New car dealers,12/1/18,80913
44112,Used car dealers,1/1/18,9003
44112,Used car dealers,2/1/18,10116
44112,Used car dealers,3/1/18,11482
44112,Used car dealers,4/1/18,9747
44112,Used car dealers,5/1/18,10326
44112,Used car dealers,6/1/18,10001
44112,Used car dealers,7/1/18,10022
44112,Used car dealers,8/1/18,10346
44112,Used car dealers,9/1/18,9214
44112,Used car dealers,10/1/18,9398
44112,Used car dealers,11/1/18,8949
44112,Used car dealers,12/1/18,8668
4413,"Automotive parts, acc., and tire stores",1/1/18,7238
4413,"Automotive parts, acc., and tire stores",2/1/18,7026
4413,"Automotive parts, acc., and tire stores",3/1/18,8339
4413,"Automotive parts, acc., and tire stores",4/1/18,7739
4413,"Automotive parts, acc., and tire stores",5/1/18,8420
4413,"Automotive parts, acc., and tire stores",6/1/18,8197
4413,"Automotive parts, acc., and tire stores",7/1/18,8179
4413,"Automotive parts, acc., and tire stores",8/1/18,8541
4413,"Automotive parts, acc., and tire stores",9/1/18,7746
4413,"Automotive parts, acc., and tire stores",10/1/18,8438
4413,"Automotive parts, acc., and tire stores",11/1/18,7883
4413,"Automotive parts, acc., and tire stores",12/1/18,7196
"442,443","Furniture, home furn, electronics, and appliance stores",1/1/18,16142
"442,443","Furniture, home furn, electronics, and appliance stores",2/1/18,15646
"442,443","Furniture, home furn, electronics, and appliance stores",3/1/18,17749
"442,443","Furniture, home furn, electronics, and appliance stores",4/1/18,16172
"442,443","Furniture, home furn, electronics, and appliance stores",5/1/18,17471
"442,443","Furniture, home furn, electronics, and appliance stores",6/1/18,17381
"442,443","Furniture, home furn, electronics, and appliance stores",7/1/18,17275
"442,443","Furniture, home furn, electronics, and appliance stores",8/1/18,18233
"442,443","Furniture, home furn, electronics, and appliance stores",9/1/18,17039
"442,443","Furniture, home furn, electronics, and appliance stores",10/1/18,17292
"442,443","Furniture, home furn, electronics, and appliance stores",11/1/18,20378
"442,443","Furniture, home furn, electronics, and appliance stores",12/1/18,22177
442,Furniture and home furnishings stores,1/1/18,8874
442,Furniture and home furnishings stores,2/1/18,8697
442,Furniture and home furnishings stores,3/1/18,10181
442,Furniture and home furnishings stores,4/1/18,9359
442,Furniture and home furnishings stores,5/1/18,10094
442,Furniture and home furnishings stores,6/1/18,9898
442,Furniture and home furnishings stores,7/1/18,9910
442,Furniture and home furnishings stores,8/1/18,10382
442,Furniture and home furnishings stores,9/1/18,9759
442,Furniture and home furnishings stores,10/1/18,9955
442,Furniture and home furnishings stores,11/1/18,10782
442,Furniture and home furnishings stores,12/1/18,11134
4421,Furniture stores,1/1/18,4721
4421,Furniture stores,2/1/18,4802
4421,Furniture stores,3/1/18,5676
4421,Furniture stores,4/1/18,5018
4421,Furniture stores,5/1/18,5368
4421,Furniture stores,6/1/18,5396
4421,Furniture stores,7/1/18,5282
4421,Furniture stores,8/1/18,5525
4421,Furniture stores,9/1/18,5391
4421,Furniture stores,10/1/18,5173
4421,Furniture stores,11/1/18,5505
4421,Furniture stores,12/1/18,5430
4422,Home furnishings stores,1/1/18,4153
4422,Home furnishings stores,2/1/18,3895
4422,Home furnishings stores,3/1/18,4505
4422,Home furnishings stores,4/1/18,4341
4422,Home furnishings stores,5/1/18,4726
4422,Home furnishings stores,6/1/18,4502
4422,Home furnishings stores,7/1/18,4628
4422,Home furnishings stores,8/1/18,4857
4422,Home furnishings stores,9/1/18,4368
4422,Home furnishings stores,10/1/18,4782
4422,Home furnishings stores,11/1/18,5277
4422,Home furnishings stores,12/1/18,5704
44221,Floor covering stores,1/1/18,
44221,Floor covering stores,2/1/18,
44221,Floor covering stores,3/1/18,
44221,Floor covering stores,4/1/18,
44221,Floor covering stores,5/1/18,
44221,Floor covering stores,6/1/18,
44221,Floor covering stores,7/1/18,
44221,Floor covering stores,8/1/18,
44221,Floor covering stores,9/1/18,
44221,Floor covering stores,10/1/18,
44221,Floor covering stores,11/1/18,
44221,Floor covering stores,12/1/18,
442299,All other home furnishings stores,1/1/18,2297
442299,All other home furnishings stores,2/1/18,2055
442299,All other home furnishings stores,3/1/18,2347
442299,All other home furnishings stores,4/1/18,2179
442299,All other home furnishings stores,5/1/18,2391
442299,All other home furnishings stores,6/1/18,2205
442299,All other home furnishings stores,7/1/18,2351
442299,All other home furnishings stores,8/1/18,2530
442299,All other home furnishings stores,9/1/18,2262
442299,All other home furnishings stores,10/1/18,2447
442299,All other home furnishings stores,11/1/18,3158
442299,All other home furnishings stores,12/1/18,3823
443,Electronics and appliance stores,1/1/18,7268
443,Electronics and appliance stores,2/1/18,6949
443,Electronics and appliance stores,3/1/18,7568
443,Electronics and appliance stores,4/1/18,6813
443,Electronics and appliance stores,5/1/18,7377
443,Electronics and appliance stores,6/1/18,7483
443,Electronics and appliance stores,7/1/18,7365
443,Electronics and appliance stores,8/1/18,7851
443,Electronics and appliance stores,9/1/18,7280
443,Electronics and appliance stores,10/1/18,7337
443,Electronics and appliance stores,11/1/18,9596
443,Electronics and appliance stores,12/1/18,11043
443141,Household appliance stores,1/1/18,1237
443141,Household appliance stores,2/1/18,1233
443141,Household appliance stores,3/1/18,1431
443141,Household appliance stores,4/1/18,1316
443141,Household appliance stores,5/1/18,1500
443141,Household appliance stores,6/1/18,1482
443141,Household appliance stores,7/1/18,1468
443141,Household appliance stores,8/1/18,1524
443141,Household appliance stores,9/1/18,1353
443141,Household appliance stores,10/1/18,1421
443141,Household appliance stores,11/1/18,1544
443141,Household appliance stores,12/1/18,1415
443142,Electronics stores,1/1/18,6031
443142,Electronics stores,2/1/18,5716
443142,Electronics stores,3/1/18,6137
443142,Electronics stores,4/1/18,5497
443142,Electronics stores,5/1/18,5877
443142,Electronics stores,6/1/18,6001
443142,Electronics stores,7/1/18,5897
443142,Electronics stores,8/1/18,6327
443142,Electronics stores,9/1/18,5927
443142,Electronics stores,10/1/18,5916
443142,Electronics stores,11/1/18,8052
443142,Electronics stores,12/1/18,9628
444,Building mat. and garden equip. and supplies dealers,1/1/18,23580
444,Building mat. and garden equip. and supplies dealers,2/1/18,23569
444,Building mat. and garden equip. and supplies dealers,3/1/18,29824
444,Building mat. and garden equip. and supplies dealers,4/1/18,32098
444,Building mat. and garden equip. and supplies dealers,5/1/18,38021
444,Building mat. and garden equip. and supplies dealers,6/1/18,35056
444,Building mat. and garden equip. and supplies dealers,7/1/18,33218
444,Building mat. and garden equip. and supplies dealers,8/1/18,32162
444,Building mat. and garden equip. and supplies dealers,9/1/18,29421
444,Building mat. and garden equip. and supplies dealers,10/1/18,32577
444,Building mat. and garden equip. and supplies dealers,11/1/18,29980
444,Building mat. and garden equip. and supplies dealers,12/1/18,27607
4441,Building mat. and supplies dealers,1/1/18,21131
4441,Building mat. and supplies dealers,2/1/18,20823
4441,Building mat. and supplies dealers,3/1/18,25759
4441,Building mat. and supplies dealers,4/1/18,27490
4441,Building mat. and supplies dealers,5/1/18,32448
4441,Building mat. and supplies dealers,6/1/18,30673
4441,Building mat. and supplies dealers,7/1/18,29757
4441,Building mat. and supplies dealers,8/1/18,28733
4441,Building mat. and supplies dealers,9/1/18,26115
4441,Building mat. and supplies dealers,10/1/18,28638
4441,Building mat. and supplies dealers,11/1/18,26516
4441,Building mat. and supplies dealers,12/1/18,24040
44412,Paint and wallpaper stores,1/1/18,804
44412,Paint and wallpaper stores,2/1/18,823
44412,Paint and wallpaper stores,3/1/18,996
44412,Paint and wallpaper stores,4/1/18,1017
44412,Paint and wallpaper stores,5/1/18,1153
44412,Paint and wallpaper stores,6/1/18,1173
44412,Paint and wallpaper stores,7/1/18,1149
44412,Paint and wallpaper stores,8/1/18,1193
44412,Paint and wallpaper stores,9/1/18,1037
44412,Paint and wallpaper stores,10/1/18,1134
44412,Paint and wallpaper stores,11/1/18,925
44412,Paint and wallpaper stores,12/1/18,804
44413,Hardware stores,1/1/18,1935
44413,Hardware stores,2/1/18,1828
44413,Hardware stores,3/1/18,2318
44413,Hardware stores,4/1/18,2363
44413,Hardware stores,5/1/18,2725
44413,Hardware stores,6/1/18,2506
44413,Hardware stores,7/1/18,2344
44413,Hardware stores,8/1/18,2354
44413,Hardware stores,9/1/18,2160
44413,Hardware stores,10/1/18,2368
44413,Hardware stores,11/1/18,2244
44413,Hardware stores,12/1/18,2237
445,Food and beverage stores,1/1/18,60313
445,Food and beverage stores,2/1/18,56396
445,Food and beverage stores,3/1/18,63702
445,Food and beverage stores,4/1/18,59427
445,Food and beverage stores,5/1/18,64458
445,Food and beverage stores,6/1/18,62734
445,Food and beverage stores,7/1/18,63341
445,Food and beverage stores,8/1/18,63603
445,Food and beverage stores,9/1/18,61208
445,Food and beverage stores,10/1/18,62594
